Course Name,Formal Name
CE 1105,Introduction to Civil Engineering
CHEM 1465,Chemistry for Engineers
ENGL 1301,Rhetoric and Composition I
CE 1252,Computer Tools-AutoCAD
UNIV-EN 1131,Entrance to Engineering

MATH 1426,Calculus I
IE 2308,Engineering Economy
MATH 2425,Calculus II
PHYS 1443,General Technical Physics I
POLS 2311,Government of the United States

CE 2311,Statics
CE 2153,Computer Tools - CIVL 3D
COMS 2302,Professional & Technical Communications for Scientists & Engineers
MATH 2326,Calculus III
PHYS 1444,General Technical Physics II

CE 2221,Dynamics
CE 2313,Mechanics of Materials
CE 2331,Engineering Measurement & Computer Modeling
GEOL 3340,Geology for Engineers
CE 3301,Stochastic Models for CE
MATH 3319,Differential Equations & Linear Algebra

CE 3210,CE Communications
CE 3253,Applications of Computer-Based Design Programs in CE
CE 3305,Basic Fluid Mechanics
CE 3142,Applied Fluid Mechanics Lab
CE 3341,Structural Analysis
CE 3343,Soil Mechanics
CE 3143,Properties & Behavior of Soils
POLS 2312,State and Local Government

CE 3302,Transportation Engineering
CE 3361,Property & Behavior of CE Materials
CE 3311,Construction Engineering
CE 3342,Introduction to Water Resources
CE 3334,Principles of Environmental Engineering
CE 3131,Environmental Analysis

CE 4347,Reinforced Concrete Design
CE 4328,Water Systems Design
CE 4352,Professional Practice

CE 4383,Senior Project
