Course Name,Formal Name
CSE 1310,Intro to Programming
ENGR 1101,Intro to Engineering
UNIV-EN 1131,Student Success
MATH 1426,Calculus 1
ENGL 1301,Rhetoric & Composition
CSE 1106,Intro to CSE
CSE 1320,Intermediate Programming
MATH 2425,Calculus 2
PHYS 1443,General Technical Physics 1
CSE 2315,Discrete Structures
CSE 1325,Object-Oriented Programming
CSE 2312,Computer Organization
CSE 3318,Algorithms and Data Structures
PHYS 1444,General Technical Physics 2
CSE 3380,Linear Algebra for CSE
CSE 3310,Intro to Software
CSE 3320,Operating Systems
MATH 2326,Calculus III
COMS 2302,Prof. & Technical Comm
CSE 3302,Programming Languages
CSE 3330,Databases
CSE 3315,Theoretical CS
IE 3301,Probability and Statistics
POLS 2311,Govt of the United States
CSE 4308,Artificial Intelligence
CSE 4344,Computer Networks
POLS 2312,State & Local Government
CSE 3314,Professional Practices
CSE 4316,Senior Design I
CSE 4303,Computer Graphics
CSE 4305,Compliers
CSE 4360,Robotics
ECON 2305,Principles of Macroeconomics
IE 2308,Economics for Engineers
CSE 4317,Senior Design 2
CSE 4380,Info Security
CSE 4381,Info Security 2
CSE 4382,Secure Programming
