Formal Name,Course Name,Prerequisites,Corequisites,Requirement
AE 5100,PREPARATORY COURSE FOR AEROSPACE ENGINEERING.  1 Hour,[None],[None],required
AE 5101,GRADUATE SEMINAR.  1 Hour,[None],[None],required
AE 5191,ADVANCED STUDIES IN AEROSPACE ENGINEERING.  1 Hour,[None],[None],required
AE 5197,RESEARCH IN AEROSPACE ENGINEERING.  1 Hour,[None],[None],required
AE 5200,PREPARATORY COURSE FOR AEROSPACE ENGINEERING.  2 Hours,[None],[None],required
AE 5291,ADVANCED STUDIES IN AEROSPACE ENGINEERING.  2 Hours,[None],[None],required
AE 5297,RESEARCH IN AEROSPACE ENGINEERING.  2 Hours,[None],[None],required
AE 5300,PREPARATORY COURSE FOR AEROSPACE ENGINEERING.  3 Hours,[None],[None],required
AE 5301,ADVANCED TOPICS IN AEROSPACE ENGINEERING.  3 Hours,[None],[None],required
AE 5302,ADVANCED FLIGHT MECHANICS.  3 Hours,[None],[None],required
AE 5303,CLASSICAL METHODS OF CONTROL SYSTEMS ANALYSIS AND SYNTHESIS.  3 Hours,[None],[None],required
AE 5305,DYNAMIC SYSTEMS MODELING.  3 Hours,[None],[None],required
AE 5310,FINITE ELEMENT METHODS.  3 Hours,[None],[None],required
AE 5311,STRUCTURAL DYNAMICS.  3 Hours,[None],[None],required
AE 5312,CONTINUUM MECHANICS.  3 Hours,[None],[None],required
AE 5313,FLUID DYNAMICS.  3 Hours,[None],[None],required
AE 5315,FUNDAMENTALS OF COMPOSITES.  3 Hours,[None],[None],required
AE 5320,DESIGN OPTIMIZATION.  3 Hours,[None],[None],required
AE 5322,AEROELASTICITY.  3 Hours,[None],[None],required
AE 5323,ENGINEERING RESEARCH METHODS.  3 Hours,[None],[None],required
AE 5325,COMBUSTION.  3 Hours,[None],[None],required
AE 5326,AIR-BREATHING PROPULSION.  3 Hours,[None],[None],required
AE 5327,COMPUTATIONAL AERODYNAMICS I.  3 Hours,[None],[None],required
AE 5328,COMPUTATIONAL AERODYNAMICS II.  3 Hours,[None],[None],required
AE 5329,ADDITIVE MANUFACTURING.  3 Hours,[None],[None],required
AE 5331,ANALYTIC METHODS IN ENGINEERING.  3 Hours,[None],[None],required
AE 5332,ENGINEERING ANALYSIS.  3 Hours,[None],[None],required
AE 5333,THERMAL PHENOMENA IN MICROSYSTEMS.  3 Hours,[None],[None],required
AE 5335,OPTIMAL CONTROL OF DYNAMIC SYS.  3 Hours,[None],[None],required
AE 5336,OPTIMAL ESTIMATION OF DYNAMIC SYSTEMS.  3 Hours,[None],[None],required
AE 5337,INTRODUCTION TO ROBOTICS.  3 Hours,[None],[None],required
AE 5338,ANALYTICAL & COMPUTATIONAL DYNAMICS.  3 Hours,[None],[None],required
AE 5339,INTERMEDIATE MECHANICS OF MATERIALS.  3 Hours,[None],[None],required
AE 5341,CONTROL SYSTEM COMPONENTS.  3 Hours,[None],[None],required
AE 5342,GAS DYNAMICS.  3 Hours,[None],[None],required
AE 5345,NUMERICAL HEAT TRANSFER AND FLUID FLOW.  3 Hours,[None],[None],required
AE 5347,ROCKET PROPULSION.  3 Hours,[None],[None],required
AE 5348,HYPERSONIC PROPULSION.  3 Hours,[None],[None],required
AE 5349,POLYMER SCIENCE AND ENGINEERING.  3 Hours,[None],[None],required
AE 5350,CLASSICAL AERODYNAMICS.  3 Hours,[None],[None],required
AE 5362,"GUIDANCE, NAVIGATION, AND CONTROL OF AEROSPACE VEHICLES.  3 Hours",[None],[None],required
AE 5363,INTRODUCTION TO ROTORCRAFT ANALYSIS.  3 Hours,[None],[None],required
AE 5364,INTRODUCTION TO AERODYNAMICS OF ROTORCRAFT.  3 Hours,[None],[None],required
AE 5365,INTRODUCTION TO HELICOPTER AND TILTROTOR SIMULATION.  3 Hours,[None],[None],required
AE 5367,HIGH-SPEED AIRCRAFT AND SPACE ACCESS VEHICLE DESIGN.  3 Hours,[None],[None],required
AE 5368,FLIGHT VEHICLE SYNTHESIS AND SYSTEMS ENGINEERING.  3 Hours,[None],[None],required
AE 5372,PARAMETRIC SIZING OF HIGH-SPEED AIRCRAFT.  3 Hours,[None],[None],required
AE 5374,NONLINEAR SYSTEMS ANALYSIS AND CONTROLS.  3 Hours,[None],[None],required
AE 5378,INTRODUCTION TO UNMANNED VEHICLE SYSTEMS.  3 Hours,[None],[None],required
AE 5379,UNMANNED VEHICLE SYSTEM DEVELOPMENT.  3 Hours,[None],[None],required
AE 5380,DESIGN OF DIGITAL CONTROL SYSTEMS.  3 Hours,[None],[None],required
AE 5381,BOUNDARY LAYERS.  3 Hours,[None],[None],required
AE 5382,ADVANCED ASTRONAUTICS.  3 Hours,[None],[None],required
AE 5383,HYPERSONIC FLOW.  3 Hours,[None],[None],required
AE 5385,HIGH TEMPERATURE GASDYNAMICS.  3 Hours,[None],[None],required
AE 5386,WIND & OCEAN CURRENT ENERGY HARVESTING FUNDAMENTALS.  3 Hours,[None],[None],required
AE 5391,ADVANCED STUDIES IN AEROSPACE ENGINEERING.  3 Hours,[None],[None],required
AE 5397,RESEARCH IN AEROSPACE ENGINEERING.  3 Hours,[None],[None],required
AE 5398,THESIS.  3 Hours,[None],[None],required
AE 5400,PREPARATORY COURSE FOR AEROSPACE ENGINEERING.  4 Hours,[None],[None],required
AE 5698,THESIS.  6 Hours,[None],[None],required
AE 6196,AEROSPACE ENGINEERING INTERNSHIP.  1 Hour,[None],[None],required
AE 6197,RESEARCH IN AEROSPACE ENGINEERING.  1 Hour,[None],[None],required
AE 6297,RESEARCH IN AEROSPACE ENGINEERING.  2 Hours,[None],[None],required
AE 6299,DISSERTATION.  2 Hours,[None],[None],required
AE 6304,ADVANCED MECHANICS OF MATERIALS.  3 Hours,[None],[None],required
AE 6310,ADVANCED FINITE ELEMENT METHODS.  3 Hours,[None],[None],required
AE 6311,ADVANCED STRUCTURAL DYNAMICS.  3 Hours,[None],[None],required
AE 6314,FRACTURE MECHANICS.  3 Hours,[None],[None],required
AE 6315,ADVANCED COMPOSITES.  3 Hours,[None],[None],required
AE 6337,ADVANCED ROBOTICS.  3 Hours,[None],[None],required
AE 6397,RESEARCH IN AEROSPACE ENGINEERING.  3 Hours,[None],[None],required
AE 6399,DISSERTATION.  3 Hours,[None],[None],required
AE 6697,RESEARCH IN AEROSPACE ENGINEERING.  6 Hours,[None],[None],required
AE 6699,DISSERTATION.  6 Hours,[None],[None],required
AE 6999,DISSERTATION.  9 Hours,[None],[None],required
AE 7399,DOCTORAL DEGREE COMPLETION.  3 Hours,[None],[None],required
