Formal Name,Course Name,Prerequisites,Corequisites,Requirement
BE 1000,UNDERGRADUATE RESEARCH.  0 Hours,[None],[None],required
BE 1105,MEDICAL APPLICATIONS OF ENGINEERING.  1 Hour,[None],[None],required
BE 1325,INTRODUCTION TO BIOENGINEERING.  3 Hours,[None],[None],required
BE 2000,UNDERGRADUATE RESEARCH.  0 Hours,[None],[None],required
BE 2300,SPECIAL TOPICS IN BIOENGINEERING.  3 Hours,[None],[None],required
BE 2310,ENGINEERING APPROACHES TO SOLVING CLINICAL CHALLENGES.  3 Hours,[None],[None],required
BE 2315,INTRODUCTORY COMPUTATIONAL TOOLS FOR BIOENGINEERS.  3 Hours,[None],[None],required
BE 3000,UNDERGRADUATE RESEARCH.  0 Hours,[None],[None],required
BE 3101,SEMINAR IN BIOENGINEERING.  1 Hour,[None],[None],required
BE 3180,INTRODUCTION TO MEDICAL DEVICE REGULATORY REQUIREMENTS AND QUALITY STANDARDS.  1 Hour,[None],[None],required
BE 3191,DIRECTED RESEARCH IN BIOENGINEERING.  1 Hour,[None],[None],required
BE 3195,INTERNSHIP IN BIOENGINEERING.  1 Hour,[None],[None],required
BE 3280,INTRODUCTION TO MEDICAL DEVICE REGULATORY REQUIREMENTS & QUALITY STANDARDS.  2 Hours,[None],[None],required
BE 3295,INTERNSHIP IN BIOENGINEERING.  2 Hours,[None],[None],required
BE 3301,CELL PHYSIOLOGY FOR BIOENGINEERS.  3 Hours,[None],[None],required
BE 3310,BIOMECHANICS AND FLUID FLOW WITH COMPUTATIONAL LABORATORY.  3 Hours,[None],[None],required
BE 3317,LINEAR SYSTEMS IN BIOENGINEERING.  3 Hours,[None],[None],required
BE 3320,BIOMEDICAL SIGNAL ACQUISITION AND ANALYSIS.  3 Hours,[None],[None],required
BE 3325,FLUORESCENCE MICROSCOPY.  3 Hours,[None],[None],required
BE 3327,TISSUE OPTICS.  3 Hours,[None],[None],required
BE 3343,MATLAB AND APPLICATIONS FOR BIOENGINEERS.  3 Hours,[None],[None],required
BE 3344,BIOINSTRUMENTATION.  3 Hours,[None],[None],required
BE 3346,MEDICAL IMAGING.  3 Hours,[None],[None],required
BE 3352,DIGITAL PROCESSING OF BIOLOGICAL SIGNALS.  3 Hours,[None],[None],required
BE 3367,CELL CULTURE AND BIOMATERIAL LABORATORY.  3 Hours,[None],[None],required
BE 3380,HUMAN PHYSIOLOGY IN BE.  3 Hours,[None],[None],required
BE 3395,INTERNSHIP IN BIOENGINEERING.  3 Hours,[None],[None],required
BE 3415,FUNDAMENTALS OF BIOMOLECULAR ENGINEERING.  4 Hours,[None],[None],required
BE 4000,UNDERGRADUATE RESEARCH.  0 Hours,[None],[None],required
BE 4191,DIRECTED RESEARCH IN BIOENGINEERING.  1 Hour,[None],[None],required
BE 4291,DIRECTED RESEARCH IN BIOENGINEERING.  2 Hours,[None],[None],required
BE 4300,SPECIAL TOPICS IN BIOENGINEERING.  3 Hours,[None],[None],required
BE 4312,TISSUE BIOMECHANICS AND BIOENGINEERING.  3 Hours,[None],[None],required
BE 4314,BIOMEDICAL IMPLANTS.  3 Hours,[None],[None],required
BE 4318,MEDICAL DEVICE PROTOTYPING.  3 Hours,[None],[None],required
BE 4324,BIOMEDICAL OPTICS LABORATORY.  3 Hours,[None],[None],required
BE 4325,FUNDAMENTALS OF BIOENGINEERING.  3 Hours,[None],[None],required
BE 4326,TISSUE ULTRASOUND-OPTICAL IMAGING.  3 Hours,[None],[None],required
BE 4329,NEURAL ENGINEERING.  3 Hours,[None],[None],required
BE 4330,MEDICAL IMAGE PROCESSING.  3 Hours,[None],[None],required
BE 4331,BIOPOLYMERS AND BIOCOMPATIBILITY.  3 Hours,[None],[None],required
BE 4333,NANO BIOMATERIALS AND LIVING-SYSTEMS INTERACTION.  3 Hours,[None],[None],required
BE 4337,TRANSPORT PHENOMENA IN BIOMEDICAL ENGINEERING.  3 Hours,[None],[None],required
BE 4345,BIOSENSORS.  3 Hours,[None],[None],required
BE 4350,SENIOR DESIGN PROJECT I.  3 Hours,[None],[None],required
BE 4355,SENIOR DESIGN PROJECT II.  3 Hours,[None],[None],required
BE 4360,FUNDAMENTALS OF ULTRASOUND IN BIOENGINEERING.  3 Hours,[None],[None],required
BE 4364,TISSUE ENGINEERING.  3 Hours,[None],[None],required
BE 4365,TISSUE ENGINEERING LABORATORY.  3 Hours,[None],[None],required
BE 4366,PROCESS CONTROL IN BIOTECHNOLOGY.  3 Hours,[None],[None],required
BE 4368,AN INTRODUCTION TO TISSUE ENGINEERING AND REGENERATIVE MEDICINE.  3 Hours,[None],[None],required
BE 4372,DRUG DELIVERY SYSTEM.  3 Hours,[None],[None],required
BE 4373,FORMULATION AND CHARACTERIZATION OF DRUG DELIVERY SYSTEMS.  3 Hours,[None],[None],required
BE 4382,LABORATORY PRINCIPLES.  3 Hours,[None],[None],required
BE 4385,STEM CELL TISSUE ENGINEERING.  3 Hours,[None],[None],required
BE 4388,MEDICAL PRODUCT DESIGN AND DEVELOPMENT.  3 Hours,[None],[None],required
BE 4390,UNDERGRADUATE RESEARCH PROJECT.  3 Hours,[None],[None],required
BE 4391,DIRECTED RESEARCH IN BIOENGINEERING.  3 Hours,[None],[None],required
BE 5101,SEMINAR IN BIOENGINEERING.  1 Hour,[None],[None],required
BE 5191,DIRECTED RESEARCH IN BIOENGINEERING.  1 Hour,[None],[None],required
BE 5193,MS COMPREHENSIVE EXAMINATION.  1 Hour,[None],[None],required
BE 5201,SEMINAR IN BIOENGINEERING.  2 Hours,[None],[None],required
BE 5281,BEST PRACTICES IN TEACHING AND LEARNING.  2 Hours,[None],[None],required
BE 5291,DIRECTED RESEARCH IN BIOENGINEERING.  2 Hours,[None],[None],required
BE 5293,MASTERS COMPREHENSIVE EXAMINATION.  2 Hours,[None],[None],required
BE 5300,SELECTED TOPICS IN BIOENGINEERING.  3 Hours,[None],[None],required
BE 5301,CELL PHYSIOLOGY FOR BIOENGINEERS.  3 Hours,[None],[None],required
BE 5309,HUMAN PHYSIOLOGY IN BIOENGINEERING.  3 Hours,[None],[None],required
BE 5310,BIOMECHANICS AND FLUID FLOW WITH COMPUTATIONAL LAB.  3 Hours,[None],[None],required
BE 5312,TISSUE BIOMECHANICS AND BIOENGINEERING.  3 Hours,[None],[None],required
BE 5314,BIOMEDICAL IMPLANTS.  3 Hours,[None],[None],required
BE 5315,FUNDAMENTALS OF BIOMOLECULAR ENGINEERING.  3 Hours,[None],[None],required
