Formal Name,Course Name,Prerequisites,Corequisites,Requirement
CM 1311,CONSTRUCTION DRAFTING.  3 Hours,[None],[None],required
CM 1331,CONSTRUCTION SURVEYING.  3 Hours,[None],[None],required
CM 2311,INTRODUCTION TO CONSTRUCTION MANAGEMENT.  3 Hours,[None],[None],required
CM 2313,CONSTRUCTION MATERIALS AND METHODS.  3 Hours,[None],[None],required
CM 2315,INTRODUCTION TO MECHANICS FOR CONSTRUCTION.  3 Hours,[None],[None],required
CM 2331,CONSTRUCTION DOCUMENTS.  3 Hours,[None],[None],required
CM 2391,PROBLEMS IN CONSTRUCTION MANAGEMENT.  3 Hours,[None],[None],required
CM 3313,CONSTRUCTION ESTIMATING I.  3 Hours,[None],[None],required
CM 3315,CONSTRUCTION LAW AND ETHICS.  3 Hours,[None],[None],required
CM 3331,MECHANICAL AND ELECTRICAL SYSTEMS.  3 Hours,[None],[None],required
CM 3333,CONSTRUCTION DESIGN I.  3 Hours,[None],[None],required
CM 3335,SOILS AND FOUNDATION IN CONSTRUCTION.  3 Hours,[None],[None],required
CM 3337,CONSTRUCTION ADMINISTRATION AND ECONOMICS.  3 Hours,[None],[None],required
CM 3339,CONSTRUCTION SAFETY.  3 Hours,[None],[None],required
CM 3341,CONSTRUCTION DESIGN.  3 Hours,[None],[None],required
CM 4111,CONSTRUCTION MANAGEMENT CAPSTONE I.  1 Hour,[None],[None],required
CM 4300,ADVANCED TOPICS IN CONSTRUCTION MANAGEMENT.  3 Hours,[None],[None],required
CM 4301,ADVANCED TOPICS IN CONSTRUCTION MANAGEMENT WITH LAB.  3 Hours,[None],[None],required
CM 4304,CONSTRUCTION CONTRACTS.  3 Hours,[None],[None],required
CM 4306,BUILDING CONSTRUCTION CONTRACTS.  3 Hours,[None],[None],required
CM 4313,CONSTRUCTION DESIGN II.  3 Hours,[None],[None],required
CM 4315,CONSTRUCTION ESTIMATING II.  3 Hours,[None],[None],required
CM 4317,CONSTRUCTION SCHEDULING.  3 Hours,[None],[None],required
CM 4331,CONSTRUCTION MANAGEMENT CAPSTONE.  3 Hours,[None],[None],required
CM 4332,CONSTRUCTION FIELD OPERATIONS.  3 Hours,[None],[None],required
CM 4334,DRONES & ADVANCED CONSTRUCTION TECHNOLOGY.  3 Hours,[None],[None],required
CM 4335,GEOTECHNICAL ASPECTS OF CONSTRUCTION.  3 Hours,[None],[None],required
CM 4337,LAND AND SITE DEVELOPMENT.  3 Hours,[None],[None],required
CM 4351,BUILDING INFORMATION MODELING FOR CONSTRUCTION MANAGEMENT.  3 Hours,[None],[None],required
CM 4353,RESIDENTIAL AND COMMERCIAL CONSTRUCTION.  3 Hours,[None],[None],required
CM 4357,SUSTAINABLE BUILDING PRACTICE.  3 Hours,[None],[None],required
CM 4359,INDUSTRIAL INTERNSHIP I.  3 Hours,[None],[None],required
CM 4360,INDUSTRIAL INTERNSHIP II.  3 Hours,[None],[None],required
CM 4391,PROBLEMS IN CONSTRUCTION MANAGEMENT.  3 Hours,[None],[None],required
CM 5300,TOPICS IN CONSTRUCTION MANAGEMENT.  3 Hours,[None],[None],required
CM 5301,TOPICS IN CONSTRUCTION MANAGEMENT WITH LAB.  3 Hours,[None],[None],required
CM 5313,GEOTECHNICAL ASPECTS OF CONSTRUCTION.  3 Hours,[None],[None],required
CM 5339,STATISTICS FOR CONSTRUCTION.  3 Hours,[None],[None],required
CM 5340,CONSTRUCTION PROJECT ACQUISITION.  3 Hours,[None],[None],required
CM 5342,CONSTRUCTION PROJECT ADMINISTRATION.  3 Hours,[None],[None],required
CM 5343,ADVANCED BUILDING INFORMATION MODELING.  3 Hours,[None],[None],required
CM 5344,CONSTRUCTION METHODS: FIELD OPERATIONS.  3 Hours,[None],[None],required
CM 5345,"INFRASTRUCTURE EVALUATION, MAINTENANCE, AND RENEWAL.  3 Hours",[None],[None],required
CM 5350,RISK MANAGEMENT.  3 Hours,[None],[None],required
CM 5355,CONSTRUCTION MATERIALS.  3 Hours,[None],[None],required
CM 5377,CONSTRUCTION FINANCE.  3 Hours,[None],[None],required
CM 5378,"CONSTRUCTION CONTRACTS, SPECIFICATIONS, & ADMINISTRATION.  3 Hours",[None],[None],required
CM 5379,CONSTRUCTION COST ESTIMATING.  3 Hours,[None],[None],required
CM 5381,PUBLIC PRIVATE PARTNERSHIP FOR INFRASTRUCTURE PROJECTS.  3 Hours,[None],[None],required
CM 5382,CONSTRUCTION SUSTAINABILITY.  3 Hours,[None],[None],required
CM 5386,CONSTRUCTION PLANNING & SCHEDULING.  3 Hours,[None],[None],required
CM 5387,CONSTRUCTION PRODUCTIVITY.  3 Hours,[None],[None],required
CM 5388,PIPELINE CONSTRUCTION AND TRENCHLESS TECHNOLOGY.  3 Hours,[None],[None],required
CM 5389,PIPELINE SYSTEMS ASSET MANAGEMENT.  3 Hours,[None],[None],required
