Formal Name,Course Name,Prerequisites,Corequisites,Requirement
IE 1110,FIRST SEMESTER INDUSTRIAL AND SYSTEMS ENGINEERING SEMINAR.  1 Hour,[None],[None],required
IE 1205,INTRODUCTION TO INDUSTRIAL ENGINEERING AND COMPUTING.  2 Hours,[None],[None],required
IE 1325,INTRODUCTION TO DATA ANALYSIS.  3 Hours,[None],[None],required
IE 2000,UNDERGRADUATE RESEARCH.  0 Hours,[None],[None],required
IE 2305,COMPUTER APPLICATIONS IN INDUSTRIAL ENGINEERING.  3 Hours,[None],[None],required
IE 2308,ECONOMICS FOR ENGINEERS.  3 Hours,[None],[None],required
IE 3000,UNDERGRADUATE RESEARCH.  0 Hours,[None],[None],required
IE 3301,ENGINEERING PROBABILITY.  3 Hours,[None],[None],required
IE 3314,ENGINEERING RESEARCH METHODS.  3 Hours,[None],[None],required
IE 3315,OPERATIONS RESEARCH I.  3 Hours,[None],[None],required
IE 3343,METRICS AND MEASUREMENT.  3 Hours,[None],[None],required
IE 3351,FUNDAMENTALS OF SYSTEMS ENGINEERING.  3 Hours,[None],[None],required
IE 4000,UNDERGRADUATE RESEARCH.  0 Hours,[None],[None],required
IE 4191,SPECIAL PROBLEMS IN INDUSTRIAL ENGINEERING.  1 Hour,[None],[None],required
IE 4291,SPECIAL PROBLEMS IN INDUSTRIAL ENGINEERING.  2 Hours,[None],[None],required
IE 4300,TOPICS IN INDUSTRIAL ENGINEERING.  3 Hours,[None],[None],required
IE 4302,ENGINEERING ADMINISTRATION AND ORGANIZATION.  3 Hours,[None],[None],required
IE 4303,PRODUCTION AND INVENTORY CONTROL.  3 Hours,[None],[None],required
IE 4304,ENTERPRISE SYSTEMS.  3 Hours,[None],[None],required
IE 4305,ENGINEERING DECISION  MAKING WITH DATA USING PYTHON.  3 Hours,[None],[None],required
IE 4308,QUALITY SYSTEMS.  3 Hours,[None],[None],required
IE 4310,INDUSTRIAL AND PRODUCT SAFETY.  3 Hours,[None],[None],required
IE 4314,DATA MINING AND ANALYTICS.  3 Hours,[None],[None],required
IE 4315,OPERATIONS RESEARCH II.  3 Hours,[None],[None],required
IE 4318,ENTERPRISE DESIGN.  3 Hours,[None],[None],required
IE 4322,SIMULATION OF COMPLEX SYSTEMS.  3 Hours,[None],[None],required
IE 4323,AGENT-BASED MODELING AND SIMULATION.  3 Hours,[None],[None],required
IE 4325,AUTOMATION AND ROBOTICS FOR SERVICE AND MANUFACTURING SYSTEMS.  3 Hours,[None],[None],required
IE 4335,COGNITIVE SYSTEMS ENGINEERING.  3 Hours,[None],[None],required
IE 4339,MANUFACTURING PROCESS & SYSTEM ANALYSIS.  3 Hours,[None],[None],required
IE 4340,ENGINEERING PROJECT MANAGEMENT.  3 Hours,[None],[None],required
IE 4343,FACILITIES PLANNING AND DESIGN.  3 Hours,[None],[None],required
IE 4344,HUMAN FACTORS ENGINEERING AND COMPLEX SYSTEMS.  3 Hours,[None],[None],required
IE 4345,DECISION ANALYSIS IN SYSTEM DESIGN.  3 Hours,[None],[None],required
IE 4349,INDUSTRIAL AUTOMATION.  3 Hours,[None],[None],required
IE 4350,INDUSTRIAL AND SYSTEMS ENGINEERING CAPSTONE DESIGN.  3 Hours,[None],[None],required
IE 4351,SYSTEMS ENGINEERING.  3 Hours,[None],[None],required
IE 4378,INTRODUCTION TO UNMANNED VEHICLES SYSTEMS.  3 Hours,[None],[None],required
IE 4379,UNMANNED VEHICLE SYSTEM DEVELOPMENT.  3 Hours,[None],[None],required
IE 4391,SPECIAL PROBLEMS IN INDUSTRIAL ENGINEERING.  3 Hours,[None],[None],required
IE 5191,ADVANCED STUDIES IN INDUSTRIAL ENGINEERING.  1 Hour,[None],[None],required
IE 5291,ADVANCED STUDIES IN INDUSTRIAL ENGINEERING.  2 Hours,[None],[None],required
IE 5300,TOPICS IN INDUSTRIAL ENGINEERING.  3 Hours,[None],[None],required
IE 5301,INTRODUCTION TO OPERATIONS RESEARCH.  3 Hours,[None],[None],required
IE 5302,INTRODUCTION TO INDUSTRIAL ENGINEERING.  3 Hours,[None],[None],required
IE 5303,QUALITY SYSTEMS.  3 Hours,[None],[None],required
IE 5304,ADVANCED ENGINEERING ECONOMY.  3 Hours,[None],[None],required
IE 5305,LINEAR OPTIMIZATION.  3 Hours,[None],[None],required
IE 5306,DYNAMIC OPTIMIZATION.  3 Hours,[None],[None],required
IE 5307,QUEUEING THEORY.  3 Hours,[None],[None],required
IE 5309,STOCHASTIC PROCESSES.  3 Hours,[None],[None],required
IE 5310,PRODUCTION SYSTEMS DESIGN.  3 Hours,[None],[None],required
IE 5311,DECISION ANALYSIS.  3 Hours,[None],[None],required
IE 5312,PLANNING AND CONTROL OF ENTERPRISE SYSTEMS.  3 Hours,[None],[None],required
IE 5313,RELIABILITY AND ADVANCED QUALITY CONTROL TOPICS.  3 Hours,[None],[None],required
IE 5314,SAFETY ENGINEERING.  3 Hours,[None],[None],required
IE 5315,DATA SCIENCE PROJECT MANAGEMENT.  3 Hours,[None],[None],required
IE 5317,INTRODUCTION TO PROBABILITY AND STATISTICS.  3 Hours,[None],[None],required
IE 5318,APPLIED REGRESSION ANALYSIS.  3 Hours,[None],[None],required
IE 5319,ADVANCED STATISTICAL PROCESS CONTROL AND TIME SERIES ANALYSIS.  3 Hours,[None],[None],required
IE 5320,ENTERPRISE ENGINEERING METHODS.  3 Hours,[None],[None],required
IE 5321,ENTERPRISE ANALYSIS AND DESIGN.  3 Hours,[None],[None],required
IE 5322,SIMULATION AND OPTIMIZATION.  3 Hours,[None],[None],required
IE 5323,AGENT BASED SIMULATION.  3 Hours,[None],[None],required
IE 5326,INDUSTRIAL BIOMECHANICS.  3 Hours,[None],[None],required
IE 5327,ADVANCED STATISTICS.  3 Hours,[None],[None],required
IE 5329,PRODUCTION AND INVENTORY CONTROL SYSTEMS.  3 Hours,[None],[None],required
IE 5330,AUTOMATION AND ADVANCED MANUFACTURING.  3 Hours,[None],[None],required
IE 5331,INDUSTRIAL ERGONOMICS.  3 Hours,[None],[None],required
IE 5332,NONLINEAR PROGRAMMING.  3 Hours,[None],[None],required
IE 5333,LOGISTICS TRANSPORTATION SYSTEMS DESIGN.  3 Hours,[None],[None],required
IE 5334,LOGISTICS DISTRIBUTION SYSTEMS DESIGN.  3 Hours,[None],[None],required
IE 5335,COGNITIVE SYSTEMS ENGINEERING.  3 Hours,[None],[None],required
IE 5338,HUMAN ENGINEERING AND COMPLEX SYSTEMS.  3 Hours,[None],[None],required
IE 5339,"PRODUCT DESIGN, DEVELOPMENT, PRODUCIBILITY, AND RELIABILITY DESIGN.  3 Hours",[None],[None],required
IE 5342,METRICS AND MEASUREMENT.  3 Hours,[None],[None],required
IE 5343,HEALTHCARE SYSTEMS ENGINEERING.  3 Hours,[None],[None],required
IE 5345,MANAGEMENT OF KNOWLEDGE AND TECHNOLOGY.  3 Hours,[None],[None],required
IE 5346,TECHNOLOGY DEVELOPMENT AND DEPLOYMENT.  3 Hours,[None],[None],required
IE 5350,GRADUATE DESIGN CAPSTONE.  3 Hours,[None],[None],required
IE 5351,INTRODUCTION TO SYSTEMS ENGINEERING.  3 Hours,[None],[None],required
IE 5352,REQUIREMENTS ENGINEERING.  3 Hours,[None],[None],required
IE 5353,SYSTEMS ARCHITECTURE & DESIGN.  3 Hours,[None],[None],required
IE 5354,MANAGEMENT OF COMPLEX SYSTEMS.  3 Hours,[None],[None],required
IE 5361,OPERATIONS RESEARCH FOR LOGISTICS.  3 Hours,[None],[None],required
IE 5362,LOGISTICS & PRODUCTION PLANNING.  3 Hours,[None],[None],required
IE 5363,DISTRIBUTION & TRANSPORTATION SYSTEMS.  3 Hours,[None],[None],required
IE 5378,INTRODUCTION TO UNMANNED VEHICLE SYSTEMS.  3 Hours,[None],[None],required
IE 5379,UNMANNED VEHICLE SYSTEM DEVELOPMENT.  3 Hours,[None],[None],required
IE 5391,ADVANCED STUDIES IN INDUSTRIAL ENGINEERING.  3 Hours,[None],[None],required
IE 5398,THESIS.  3 Hours,[None],[None],required
IE 5698,THESIS.  6 Hours,[None],[None],required
IE 6197,RESEARCH IN INDUSTRIAL ENGINEERING.  1 Hour,[None],[None],required
IE 6297,RESEARCH IN INDUSTRIAL ENGINEERING.  2 Hours,[None],[None],required
IE 6301,ENTERPRISE ARCHITECTURES AND FRAMEWORKS.  3 Hours,[None],[None],required
IE 6302,FACILITIES PLANNING AND DESIGN.  3 Hours,[None],[None],required
IE 6303,COMBINATORIAL OPTIMIZATION.  3 Hours,[None],[None],required
IE 6305,ENGINEERING MANAGEMENT I.  3 Hours,[None],[None],required
IE 6306,ENGINEERING MANAGEMENT II.  3 Hours,[None],[None],required
IE 6308,DESIGN OF EXPERIMENTS.  3 Hours,[None],[None],required
IE 6309,RESPONSE SURFACE METHODOLOGY AND COMPUTER EXPERIMENTS.  3 Hours,[None],[None],required
IE 6310,INDUSTRIAL APPLICATIONS.  3 Hours,[None],[None],required
IE 6318,DATA MINING & ANALYTICS.  3 Hours,[None],[None],required
IE 6397,RESEARCH IN INDUSTRIAL ENGINEERING.  3 Hours,[None],[None],required
IE 6399,DISSERTATION.  3 Hours,[None],[None],required
IE 6697,RESEARCH IN INDUSTRIAL ENGINEERING.  6 Hours,[None],[None],required
IE 6699,DISSERTATION.  6 Hours,[None],[None],required
IE 6997,RESEARCH IN INDUSTRIAL ENGINEERING.  9 Hours,[None],[None],required
IE 6999,DISSERTATION.  9 Hours,[None],[None],required
IE 7399,DOCTORAL DEGREE COMPLETION.  3 Hours,[None],[None],required
