Formal Name,Course Name,Prerequisites,Corequisites,Requirement
ME 5000,PREPARATORY COURSE FOR MECHANICAL ENGINEERING.  0 Hours,[None],[None],required
ME 5010,AUTOMOTIVE ENGINEERING PRACTICUM.  0 Hours,[None],[None],required
ME 5101,GRADUATE SEMINAR.  1 Hour,[None],[None],required
ME 5191,PROJECT STUDIES IN MECHANICAL ENGINEERING.  1 Hour,[None],[None],required
ME 5197,RESEARCH IN MECHANICAL ENGINEERING.  1 Hour,[None],[None],required
ME 5291,PROJECT STUDIES IN MECHANICAL ENGINEERING.  2 Hours,[None],[None],required
ME 5297,RESEARCH IN MECHANICAL ENGINEERING.  2 Hours,[None],[None],required
ME 5302,INTRODUCTION TO BEARING DESIGN AND LUBRICATION.  3 Hours,[None],[None],required
ME 5303,CLASSICAL METHODS OF CONTROL SYSTEMS ANALYSIS AND SYNTHESIS.  3 Hours,[None],[None],required
ME 5305,DYNAMIC SYSTEMS MODELING.  3 Hours,[None],[None],required
ME 5306,FLUID POWER CONTROL.  3 Hours,[None],[None],required
ME 5310,FINITE ELEMENT METHODS.  3 Hours,[None],[None],required
ME 5311,STRUCTURAL DYNAMICS.  3 Hours,[None],[None],required
ME 5312,CONTINUUM MECHANICS.  3 Hours,[None],[None],required
ME 5313,FLUID DYNAMICS.  3 Hours,[None],[None],required
ME 5315,FUNDAMENTALS OF COMPOSITES.  3 Hours,[None],[None],required
ME 5316,THERMAL CONDUCTION.  3 Hours,[None],[None],required
ME 5317,CONVECTION HEAT TRANSFER.  3 Hours,[None],[None],required
ME 5318,RADIATIVE HEAT TRANSFER.  3 Hours,[None],[None],required
ME 5319,ADVANCED FINITE ELEMENT METHODS.  3 Hours,[None],[None],required
ME 5320,DESIGN OPTIMIZATION.  3 Hours,[None],[None],required
ME 5321,ADVANCED CLASSICAL THERMODYNAMICS.  3 Hours,[None],[None],required
ME 5322,ADVANCED STRUCTURAL DYNAMICS.  3 Hours,[None],[None],required
ME 5323,ENGINEERING RESEARCH METHODS.  3 Hours,[None],[None],required
ME 5324,POWER PLANT ENGINEERING.  3 Hours,[None],[None],required
ME 5325,COMBUSTION.  3 Hours,[None],[None],required
ME 5326,MANUFACTURING PROCESSES AND SYSTEMS.  3 Hours,[None],[None],required
